model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,threshold
Logistic Regression,0.7098,0.6866,0.7721,0.7268,0.783,0.7618,0.5
XGBoost,0.7135,0.6955,0.7593,0.726,0.7896,0.7734,0.5
